entropy,episode,episode_length,episode_reward,moving_avg_reward,policy_loss,rollout,total_env_steps,value_loss
5.268062798678875,42,1600,-66.89479742525145,-85.71853629601583,-0.01442987501504831,16,32768,0.2228211936308071
5.294164979457856,43,1275,-51.866468301709745,-84.9312789007994,-0.0089915302261943,17,34816,0.15120558618800714
5.312190575897693,44,827,-34.24379910846303,-83.77929072370085,-0.012588375677296426,18,36864,0.18046999927610158
5.31471184194088,45,379,-9.000377121781307,-82.11753708810264,-0.008525883700349369,19,38912,0.23861623348202557
5.31471184194088,46,1600,-54.77907923269146,-81.52322278689805,-0.008525883700349369,19,38912,0.23861623348202557
5.308819569647312,47,1531,-45.9535036272543,-80.76642025158647,-0.012325325550045818,20,40960,0.20015015355311333
5.29060921818018,48,1083,-19.676833200464326,-79.49372052135476,-0.010745516870520078,21,43008,0.21056553714443
5.26600309163332,49,635,-15.36963638908043,-78.18506574314507,-0.012662945233751088,22,45056,0.15874139552470296
5.253304582834244,50,187,-1.7360469280431579,-76.65608536684304,-0.010891876576351933,23,47104,0.21077071810141207
5.253304582834244,51,1600,-27.45449619675365,-75.69134832429226,-0.010891876576351933,23,47104,0.21077071810141207
5.239917832612991,52,1339,-24.369998337427766,-74.70439928608333,-0.007432059550774283,24,49152,0.17675695479847492
5.243570622801781,53,891,-7.331210314616548,-73.43320704133868,-0.011770863700076007,25,51200,0.21671480205841362
5.228150022029877,54,443,-1.059174197624119,-72.09294717386248,-0.009274417569395154,26,53248,0.21947594080120325
5.228150022029877,55,1600,-15.558182110323864,-71.06504235452542,-0.009274417569395154,26,53248,0.21947594080120325
5.205123344063759,56,1595,0.011107184929149326,-69.79582539846373,-0.01267869115981739,27,55296,0.22872700332663953
5.176432676613331,57,1147,-3.333316190035406,-68.62981646498253,-0.012057012825971469,28,57344,0.17729924959130586
5.143115903437137,58,699,-4.313892204145586,-67.52092121910604,-0.013255172752542422,29,59392,0.21728814276866615
